[3, 6, -3, 6],Repeat,4.8717
[9, 12, -12, 3],Repeat,5.0899
[6, 6, -12, 12],Repeat,33.7054
[15, 15, -6, 3],Repeat,0.0483
[3, 3, -15, 15],Victory
[15, 6, -9, 15],Repeat,26.3565
[9, 3, -6, 12],Victory
[3, 3, -15, 15],Repeat,16.3311
[9, 3, -6, 12],Repeat,6.0221
[6, 3, -6, 6],Repeat,7.8144
[6, 15, -6, 6],Timeout
[6, 3, -6, 6],Repeat,4.1179
[9, 3, -6, 3],Repeat,2.4010
[12, 9, -12, 12],Timeout
[9, 3, -6, 3],Repeat,7.6434
[9, 15, -15, 3],Victory
[6, 12, -12, 3],Timeout
[9, 15, -15, 3],Repeat,1.7182
[6, 12, -12, 3],Repeat,12.4268
[12, 6, -15, 9],Timeout
[6, 6, -6, 6],Timeout
[3, 12, -9, 12],Timeout
[3, 12, -9, 15],Timeout
[3, 12, -9, 12],Timeout
[6, 6, -6, 6],Timeout
[3, 12, -9, 15],Timeout
[15, 3, -9, 15],Timeout
[12, 15, -6, 15],Timeout
[9, 9, -3, 6],Timeout
[15, 3, -9, 15],Repeat,8.4527
[6, 15, -15, 6],Repeat,6.9552
[12, 15, -6, 15],Timeout
[6, 15, -15, 6],Repeat,9.1825
[6, 15, -3, 3],Victory
[6, 12, -6, 6],Repeat,5.9672
[6, 12, -15, 3],Victory
[15, 6, -3, 3],Victory
[6, 15, -3, 9],Repeat,10.0321
[6, 12, -15, 3],Repeat,15.2612
[6, 15, -3, 9],Repeat,20.4141
[3, 15, -12, 6],Victory
[15, 6, -3, 3],Timeout
[12, 9, -9, 9],Repeat,0.0925
[15, 6, -3, 15],Repeat,11.7482
[9, 9, -9, 9],Repeat,22.7615
[12, 9, -9, 9],Victory
[15, 6, -3, 15],Victory
[9, 9, -9, 9],Repeat,21.8960
[3, 15, -12, 3],Repeat,16.6026
[15, 3, -12, 12],Victory
[3, 6, -9, 6],Timeout
[3, 6, -6, 9],Timeout
[6, 12, -9, 15],Repeat,7.1914
[3, 15, -12, 3],Repeat,9.5823
[6, 12, -9, 15],Victory
[3, 6, -6, 9],Victory
[15, 6, -6, 3],Timeout
[9, 15, -6, 12],Timeout
[12, 3, -6, 6],Timeout
[12, 3, -3, 3],Timeout
[12, 3, -6, 6],Timeout
[9, 15, -6, 12],Timeout
[9, 3, -6, 15],Timeout
[12, 3, -3, 3],Timeout
[15, 12, -12, 15],Timeout
[15, 12, -12, 15],Timeout
[15, 9, -9, 15],Timeout
[6, 12, -9, 9],Timeout
[15, 9, -9, 15],Timeout
[6, 6, -15, 12],Timeout
[6, 12, -9, 9],Timeout
